name;price;category;description
3-к кв. Великий Новгород, Новгородская улица, дом 12,  эт. 2/2 S:50.30 кв.м/33.40 кв.м;1900000;продажа;Продается в мкр. Волховский Северная сторона трехкомнатная квартира 50.2 м.кв. на 2 этаже пятиэтажного кирпичного дома 1975 года постройки. Балкон утеплен, застеклен, обшит сайдингом. Окна: стеклопакеты, ориентированы на север и восток. На полу ламинат. Металлическая входная дверь. В квартире новые филенчатые двери. Колонка новая-автомат. Остается встроенная кухня. Счетчики на горячую, холодную воду. Счетчик на электричество день-ночь. В квартире имеется проводка кабельного телевидения, интернет. Чистый подъезд: стекло пакеты, плитка на полу. Хорошие соседи. Парковочное место. Отличное транспортное сообщение. Развитая инфраструктура: Магазины:5, Магнит, аптека, почта, в шаговой доступности школа, детский сад. Заботливые родители всегда думают о безопасности своих детей! Квартира без долгов. Не продано свое жилье Ипотека Субсидия Сертификат Решу Ваш вопрос . Звоните! Вас ждут бонусы.
Комната. Великий Новгород, Большая Санкт-Петербургская улица, дом 42,  эт. 4/4 S:18.00 кв.м ;750000;продажа;Вы ищете недорогое и комфортное жилье в центре города, тогда это предложение для Вас. Продается теплая и светлая КГТ на четвертом этаже в четырехэтажном кирпичном доме.По документам это комната 18 кв.м., а фактически это не комната, а отдельная КГТ или небольшая квартира площадью 21 кв.м., в которой есть комната 15 кв.м., а также свои кухня, прихожая и совмещенный санузел ванна и унитаз, бойлер, а также свой личный балкон, что являетя большой редкостью . Установлены стеклопакеты. Металлическая дверь, домофон. Требуется косметический ремонт. Квартира малонаселенная. Все соседи живут изолированно, без использования каких-либо общих мест пользования, по факту только общий коридор. Окно выходит во двор, то есть нет шума и смога Большой Санкт-Петербурсгвской улицы, ориентация юго-восток. Отсутствуют проблемы с парковкой. Комната находится в центре Великого Новгорода. В непосредственной близости с домом находятся Новгородский университет, политехнический колледж, торговый центр Волна, поликлиника Волна, Лента. Все, что необходимо для комфортного проживания находится в пешей доступности: школы, детские сады, всевозможные магазины и развлекательные центры. Прекрасная транспортная доступность, рядом с домом автобусная остановка. Отличное место для проживания. Один собственник, никто не прописан, документы готовы, прямая продажа, без поиска встречного варианта! Форма расчетов любая - наличные, ипотека, материнский капитал,субсидии, сертификаты. Звоните, приходите на просмотр, с удовольствием покажем!
3-к кв. Великий Новгород, Октябрьская улица, дом 12к4,  эт. 1/1 S:49.40 кв.м/35.70 кв.м;1750000;продажа;"Предлагается к продаже 3 к.кв на ул. Октябрьская, д.12 к.4. Отличное расположение дома, в сочетании с развитой инфраструктурой. В шаговой доступности магазин Пятерочка, Полимедика, аптеки, детский сад 73 ""Ладушки"". До автовокзала 5 минут, до Кремля пешком 15 минут. Окна выходят во двор, из окон видна школа  21, очень удобно для семьи, у кого есть школьники. Есть место для парковки. Вся квартира в обычном состоянии. Общая площадь 49,4 м.кв. Комнаты смежные, зал 17,9 м.кв, две другие комнаты - 10,4 и 7,4 м.кв. Квартира на первом этаже, есть сухое подвальное помещение - вход прямо из квартиры. Собственники оставляют диван, стенку, стиральную машинку. Документы в порядке. Квартира ждёт своего покупателя! Прекрасно подойдёт для любой семьи! Звоните, покажу с радостью!"
1-к кв. Великий Новгород, Большая Санкт-Петербургская улица, дом 124а,  эт. 9/9 S:31.60 кв.м/8.90 кв.м;1950000;продажа;Предлагается к продаже однокомнатная квартира в жилом комплексе Тринити, еще называемая евродвушкой, на девятом этаже шестнадцатиэтажного панельного дома. Квартира теплая, светлая. Общая площадь квартиры вместе с балконом 38,7 кв.м., площадь комнаты 8,9 кв.м., площадь кухни-гостиной 18.,3 кв.м. Высота потолков 2,7м. Достоинство квартиры большой балкон с панорамным остеклением, с которого открывается красивый вид на город, и можно любоваться великолепными закатами. Площадь балкона 7,1 кв.м., что позволяет организовать дополнительную полноценную зону отдыха, спортивный уголок или даже зеленый сад. В квартире свежий добротный ремонт. Установлены стеклопакеты, натяжные потолки, выровнены стены, поклеены качественные обои приятной цветовой гаммы. В санузле установлена сантехника хорошего качества, большая ванна т размером 1,7м. Перегородкой отделена зона кухни от прихожей, что придает дополнительный комфорт и уют. Добротная металлическая дверь. Одним словом -заезжай и живи. Отличный современный дом с европейской планировкой, чистый ухоженный подъезд. Проход на этаж закрывается магнитным ключом. В доме два лифта, пассажирский и грузовой, подъемник для колясок. Видеонаблюдение снаружи и в подъезде. Вокруг дома расположено большое количество парковочных мест. Для новых хозяев останется встроенная кухня и большой вместительный шкаф. Район с очень развитой инфраструктурой, прекрасной транспортной доступностью, рядом находятся автобусные остановки. Все, что необходимо для комфортного проживания находится в пешей доступности: школы, гимназия, детский образовательный центр , аптеки, детские сады, торговый центр Феникс, всевозможные магазины и т.д. Для отдыха и прогулок рядом находятся река Волхов и парк Луговой с большим прудом, оборудованный прогулочными дорожками. Рядом с прудом находятся большая новая детская площадка и спортивная зона с уличными тренажерами. Отличное место для проживания. Форма расчетов любая - наличные, ипотека, субсидии, сертификаты. Звоните, приходите на просмотр, с удовольствием покажем!
3-к кв. Великий Новгород, Завокзальная улица, дом 1к1,  эт. 5/5 S:103.80 кв.м/47.20 кв.м;4400000;продажа;Предлагается к продаже двухуровневая 3к.кв. ул. Завокзальная 1 корп 1 Кирпичный дом 2006 года, в элитном районе нашего города. 5 этаж + мансарда площадью 56,2 кв.м. Общая площадь: 103,8 кв.м.+лоджия. Окна выходят на ухоженный и чистый двор. Во всей квартире установлены стеклопакеты. Просторная квартира без чистовой отделки позволит Вам сделать ремонт своей мечты! Удачная планировка. Большая кухня-гостиная 1 этаж 26,5 кв.м. с выходом на лоджию 1,2м.6м., позволит вам с комфортом разместить мебель и организовать обеденную зону. Площадь комнаты 1 этаж 17,3 кв.м. С/у на 1 этаже 3,8 кв.м., в кафельной плитке. Пол с подогревом. Сантехника в хорошем состоянии. Водоснабжение и отопление металлопластиковые трубы Henco. Новая электропроводка. Полы на первом этаже с дополнительной шумоизолирующей стяжкой На 2 этаж ведёт деревянная лестница. Вы попадаете в хол, две комнаты изолированные. Площадь комнат: 15,2 и 14,7. Комнаты с интересными мансардными окнами. Так же на 2 этаже имеется с/у 7,4 кв.м. Кафельная плитка и огромная угловая Ванна. Тихие и интеллигентные соседи. Удачное расположение дома в сочетании с развитой инфраструктурой! Всё необходимое для комфортной жизни в шаговой доступности. Рядом Детский сад и школа, тц Мармелад, магазины и остановка. Большая детская площадка, ледовый дворец. Недалёко большой центральный парк и Новгородский Кремль - сердце города, где можно гулять и наслаждаться свежим воздухом. Звоните, покажу с удовольствием!
2-к кв. Великий Новгород, Воскресенский бульвар, дом 1,  эт. 3/3 S:42.00 кв.м/34.00 кв.м;12000;аренда;Cдаётся уютная 2-x комнaтная квaртира в центре гоpодa ул. Воскресенский бульвар,д.1. Кваpтирa чистая, светлая, после косметического ремонта. Была сделана перепланировка и комнат стало 3. В каждой комнате раскалывающийся диван. В квартире всё есть для комфортного проживания: въезжай и живи! Очень удобное расположение, рядом остановки, парки. Вся инфраструктура рядом: магазины, школы, дет.сады. Bo двоpе есть место для парковки. Квартира прекрасно подойдёт для семьи! Оплата 12000 в месяц + счётчикисвет и вода Звоните, покажу с удовольствием!
4-к кв. Великий Новгород, Попова улица, дом 15к3,  эт. 5/5 S:62.10 кв.м/43.80 кв.м;2000000;продажа;"Предлагается к продаже 4 к.кв с балконом, на ул. Попова, д.15 к.3. Хорошее расположение дома, в достаточно зелёной зоне Западного района с развитой инфраструктурой. Прекрасный вид из окон, много зелени. Общая площадь 62,1 м.кв. Зал - 17,9 м.кв, две другие комнаты - 9,2 и 8,3 м.кв., изолированная комната 8,4 м.кв. В одной из комнат сделан косметический ремонт. Квартира в обычном состоянии, готова к косметическому ремонту под вкус нового собственника. Одну из комнат можно соединить с кухней и сделать кухню-студию. Во всей квартире стеклопакеты. Кухня не маленькая 6,6 м.кв Квартира прекрасно подойдёт для семьи с детьми! Рядом два детских сада 62 , 68 Чебурашка, 9 Журавлик, школа 26. Через дорогу детский сад  86 Кораблик, Детская поликлиника 2, ""Светлый сквер"" для прогулок, библиотека, магазины, ФОК ""АКРОН"", для тех кто любит спорт и плавание есть бассейн. Без долгов и обременений.Все документы готовы. Звоните, покажу с радостью!"
Комната. Великий Новгород, Московская улица, дом 26к1,  эт. 3/3 S:17.40 кв.м ;470000;продажа;Предлагается к продаже на 3-м этаже замечательная комната 17 м.кв на Торговой стороне ул. Московская д.26 к.1. Сама комната светлая, два окна со стеклопакетами. Окна выходят во двор. Комната разделена на жилую часть 12,4 и кухню 5 м.кв. На секции 4 комнаты, есть общий балкон, общая кухня. Места общего пользования чистые, поставлена новая ванна. Соседи порядочные. Сам дом удачно расположен, рядом остановка, ходит автобус 6 магазин Магнит и Пятерочка, есть дет.сад и школа. Перед домом просторная парковка. Документы в порядке! Комната подойдёт как для семьи, так и для одного человека. Звоните,покажу с радостью!
3-к кв. Великий Новгород, Зеленая улица, дом 12,  эт. 1/1 S:117.00 кв.м/76.33 кв.м;7700000;продажа;Продается роскошная 3 комнатная квартира в элитном районе Великого Новгорода. Дом удачно расположен вдали от оживленных шумных улиц, и окружен парками парк Антониева монастыря, парк отеля Park Inn, парк 60лет октября с детскими и спортивными площадками, сразу за которым начинается набережная А. Невского Рядом с домом имеется вся возможная инфраструктура начиная от поликлиник и детских садов их здесь 4, включая частный и заканчивая лодочной станцией, рестораном итальянской кухни, и СПА-центром с бассейном. Кирпичный дом построен в 2007, обладает отличной шумоизоляцией, имеет закрытый ухоженный двор с видеонаблюдением, большой парковкой и детской площадкой. Поквартирное автономное отопление позволяет всегда поддерживать дома комфортную температуру и существенно экономить на коммунальных платежах. Сама квартира, кроме современного дизайнерского ремонта с использованием дорогих материалов, обладает продуманной планировкой  планировка узаконена  с просторными комнатами, огромной гостиной, которая легко заменит банкетный зал ресторана, двумя санузлами и вместительной гардеробной. Расположение квартиры на первом этаже дома позволило обустроить в подвальном помещении прачечную комнату с выходом из кухни, которую легко можно переоборудовать в кабинет или тренажерный зал. Возможна продажа вместе со всей имеющейся мебелью, техникой и даже ГАРАЖОМ, который находится в 2х минутах ходьбы. Лучший вариант для тех, кто умеет ценить комфорт и высокое качество жизни.
3-к кв. Великий Новгород, Федоровский Ручей улица, дом 27,  эт. 1/1 S:59.00 кв.м/46.20 кв.м;2900000;продажа;Продается Квартира с отличным ремонтом в одном из лучших районов города. В квартире были выровнены стены, усилены углы во всех комнатах, заменены счетчики и проводка. Поклеены свежие обои, на полу в комнатах паркетная доска, потолки покрыты декоративной крошкой, установлены стеклопакеты, во всех комнатах проведены интернет и тв-кабели. Санузел раздельный, в кафеле. В туалете канализационная труба поменяна и изолирована рольставнями с полками. Это существенно уменьшило уровень шума. Есть рабочее место в кладовке, там оборудованы стеллажи и стол из качественных материалов. Остаются отличная встроенная кухня и прихожая. Тихие соседи, чистый подъезд, без запахов. Благоустроенный двор. Во дворе детская площадка, в шаговой доступности школа, взрослая и детская поликлиника, гипермаркеты: пятерочка, магнит, осень, Гагаринский рынок, набережная, Кремлевский парк. Задолженности по ЖКХ отсутствуют. Квартира готова к продаже. Быстрый выход на сделку! Все виды расчетов.
